Event,MapEvnt,
ASTRONOMICAL LOW TIDE,ASTRONOMICAL LOW TIDE,
AVALANCHE,AVALANCHE,
BLIZZARD,BLIZZARD,
COASTAL FLOOD,BEACH EROSION,
COASTAL FLOOD,COASTAL  FLOODING/EROSION,
COASTAL FLOOD,COASTAL EROSION,
COASTAL FLOOD,COASTAL FLOOD,
COASTAL FLOOD,COASTAL FLOODING,
COASTAL FLOOD,COASTAL FLOODING/EROSION,
COASTAL FLOOD,COASTAL STORM,
COASTAL FLOOD,COASTALSTORM,
COASTAL FLOOD,EROSION/CSTL FLOOD,
COASTAL FLOOD,TIDAL FLOODING,
COLD/WIND CHILL,COLD,
COLD/WIND CHILL,COLD TEMPERATURE,
COLD/WIND CHILL,COLD WEATHER,
COLD/WIND CHILL,COLD/WIND CHILL,
COLD/WIND CHILL,EXTREME WINDCHILL,
COLD/WIND CHILL,HYPOTHERMIA/EXPOSURE,
COLD/WIND CHILL,UNSEASONABLE COLD,
COLD/WIND CHILL,UNSEASONABLY COLD,
DEBRIS FLOW,DEBRIS FLOW,
DEBRIS FLOW,LANDSLIDE,
DEBRIS FLOW,LANDSLIDES,
DEBRIS FLOW,LANDSLUMP,
DEBRIS FLOW,MUD SLIDE,
DEBRIS FLOW,MUDSLIDE,
DEBRIS FLOW,MUDSLIDES,
DEBRIS FLOW,ROCK SLIDE,
DENSE FOG,DENSE FOG,
DENSE FOG,FOG,
DENSE SMOKE,DENSE SMOKE,
DROUGHT,DROUGHT,
DUST DEVIL,DUST DEVIL,
DUST STORM,BLOWING DUST,
DUST STORM,DUST STORM,
EXCESSIVE HEAT,EXCESSIVE HEAT,
EXTREME COLD/WIND CHILL,EXTENDED COLD,
EXTREME COLD/WIND CHILL,EXTREME COLD,
EXTREME COLD/WIND CHILL,EXTREME COLD/WIND CHILL,
FLASH FLOOD,FLASH FLOOD,
FLASH FLOOD,FLASH FLOOD,
FLASH FLOOD,FLASH FLOOD/FLOOD,
FLASH FLOOD,FLOOD/FLASH/FLOOD,
FLOOD,FLOOD,
FLOOD,RIVER FLOOD,
FLOOD,RIVER FLOODING,
FLOOD,URBAN/SML STREAM FLD,
FREEZING FOG,FREEZING FOG,
FROST/FREEZE,AGRICULTURAL FREEZE,
FROST/FREEZE,BLACK ICE,
FROST/FREEZE,DAMAGING FREEZE,
FROST/FREEZE,FREEZE,
FROST/FREEZE,FROST,
FROST/FREEZE,FROST/FREEZE,
FROST/FREEZE,GLAZE,
FROST/FREEZE,HARD FREEZE,
FROST/FREEZE,ICE ON ROAD,
FROST/FREEZE,ICE ROADS,
FUNNEL CLOUD,FUNNEL CLOUD,
HAIL,HAIL,
HAIL,SMALL HAIL,
HEAT,HEAT,
HEAT,HEAT WAVE,
HEAT,HYPERTHERMIA/EXPOSURE,
HEAT,RECORD HEAT,
HEAT,UNSEASONABLY WARM,
HEAT,WARM WEATHER,
HEAVY RAIN,HEAVY RAIN,
HEAVY RAIN,HEAVY RAIN/HIGH SURF,
HEAVY RAIN,RAIN,
HEAVY RAIN,TORRENTIAL RAINFALL,
HEAVY RAIN,UNSEASONAL RAIN,
HEAVY SNOW,HEAVY SNOW,
HIGH SURF,HAZARDOUS SURF,
HIGH SURF,HEAVY SEAS,
HIGH SURF,HEAVY SURF,
HIGH SURF,HEAVY SURF AND WIND,
HIGH SURF,HEAVY SURF/HIGH SURF,
HIGH SURF,HIGH SEAS,
HIGH SURF,HIGH SURF,
HIGH SURF,HIGH SURF ADVISORY,
HIGH SURF,HIGH SWELLS,
HIGH SURF,HIGH WATER,
HIGH SURF,ROGUE WAVE,
HIGH SURF,ROUGH SEAS,
